22,40,9,34,23,40,23,20,21,36,33,0,18,17,30,42,4,31,35,7,25,9,40,2,32,16,36,1,30,25,39,43,23,29,43,36,0,22,26,18,
21,27,37,6,24,41,36,40,26,27,1,26,9,7,10,37,20,19,41,36,24,28,30,36,30,20,39,17,12,29,40,1,30,29,11,22,37,5,4,41,
1,17,0,22,21,31,14,31,23,22,19,40,22,7,22,5,4,29,20,20,23,7,5,11,37,31,33,43,26,2,13,19,6,41,43,1,12,8,20,28,
36,14,36,40,27,14,24,9,1,29,21,28,32,15,10,1,9,32,27,35,4,7,23,21,40,18,10,20,8,15,38,0,2,0,28,13,38,2,28,39,
17,3,40,29,18,27,36,38,4,35,2,36,40,37,35,2,34,22,5,14,11,23,40,5,38,30,14,43,18,36,34,38,22,14,33,23,28,35,34,12,
6,32,11,36,42,9,40,7,10,18,28,18,19,30,2,38,13,20,23,25,29,29,36,21,29,15,29,24,41,4,6,14,25,9,30,23,21,36,42,34,
28,3,28,15,1,31,28,9,24,20,30,24,1,30,41,0,7,10,26,31,26,26,0,12,27,4,40,21,11,40,40,16,6,12,11,25,4,24,4,31,
34,40,2,20,9,23,34,6,14,21,25,23,6,35,41,22,15,14,21,0,39,30,43,5,16,39,9,39,16,18,6,4,0,6,11,16,21,31,29,4,
5,15,9,26,29,16,21,3,19,38,33,22,14,28,26,10,20,35,35,14,1,28,21,19,24,19,8,27,25,41,15,39,41,35,21,27,14,27,26,9,
34,1,11,3,32,13,8,23,2,11,35,31,4,25,8,30,37,31,17,29,4,4,26,26,24,2,19,28,3,18,34,2,27,24,18,30,6,34,20,14,
